source_url,source_title,platform,source_year,blogger_school,target_major,target_major_hits,school_tier,rank_text,rank_percent,rank_num,rank_total,camp_admitted,program_type,admission_detail,research_achievements_json,competition_achievements_json,competition_tags,confidence,notes
https://blog.csdn.net/stn54999/article/details/126500267,夏令营经验贴分享（有时间继续补充）_西交软院夏令营 - CSDN博客,CSDN,2022,东北某末流985,软件工程,"计算机,计算机科学,计算机技术,人工智能,电子信息,大数据,通信工程",末九,前3%,3.0,,,True,未说明,参加了很多学校的初选（机试、笔试）。除了放弃的面试的都拿到了优秀营员,"[{""type"": ""论文"", ""title"": null, ""author_order"": ""一作"", ""venue_or_level"": ""SCI二区""}, {""type"": ""论文"", ""title"": null, ""author_order"": ""二作"", ""venue_or_level"": ""SCI二区""}, {""type"": ""论文"", ""title"": null, ""author_order"": ""一作"", ""venue_or_level"": ""SCI""}, {""type"": ""论文"", ""title"": null, ""author_order"": ""一作"", ""venue_or_level"": ""EI""}]","[{""name"": ""数学建模"", ""level"": ""省赛"", ""award"": ""省二"", ""normalized_name"": ""数学建模""}, {""name"": ""美赛"", ""level"": ""国赛"", ""award"": ""M奖"", ""normalized_name"": ""美赛""}, {""name"": ""蓝桥杯"", ""level"": ""国赛"", ""award"": ""M奖"", ""normalized_name"": ""蓝桥杯""}, {""name"": ""挑战杯"", ""level"": ""国赛"", ""award"": ""M奖"", ""normalized_name"": ""挑战杯""}, {""name"": ""互联网+"", ""level"": ""国赛"", ""award"": ""M奖"", ""normalized_name"": ""互联网+""}, {""name"": ""天梯赛"", ""level"": ""国赛"", ""award"": ""M奖"", ""normalized_name"": ""天梯赛""}]","互联网+,天梯赛,挑战杯,数学建模,美赛,蓝桥杯",0.9,
https://www.cnblogs.com/DGJG/p/17738363.html,2023年计算机保研经验（天大，东南，华科，华师） - DGJG - 博客园,博客园,2023,中流不知名211,计算机科学与技术,"计算机,计算机科学,软件工程,大数据",其他,"5/150, 1/150",3.33,1,150,,未说明,,"[{""type"": ""科研经历"", ""title"": ""省级创训"", ""author_order"": ""未知"", ""venue_or_level"": ""省级""}, {""type"": ""科研经历"", ""title"": ""编译原理相关的课设项目"", ""author_order"": ""未知"", ""venue_or_level"": null}, {""type"": ""论文"", ""title"": null, ""author_order"": ""未知"", ""venue_or_level"": ""EI""}]","[{""name"": ""EC Final"", ""level"": ""国际"", ""award"": ""铜奖"", ""normalized_name"": ""EC Final""}, {""name"": ""ICPC区域赛"", ""level"": ""国际"", ""award"": ""铜奖"", ""normalized_name"": ""ICPC""}, {""name"": ""CSP"", ""level"": null, ""award"": ""350分"", ""normalized_name"": ""CSP""}, {""name"": ""ACM"", ""level"": ""国际"", ""award"": null, ""normalized_name"": ""ACM""}]","ACM,CSP,EC Final,ICPC",0.9,
https://zhuanlan.zhihu.com/p/1956678948902670367,25年（26届）计算机保研经验贴-末九上岸浙大（上交 - 知乎专栏,知乎,2025,,计算机科学与技术,"计算机,计算机科学,计算机技术,人工智能,电子信息,软件工程,智能科学,大数据,自动化",末九,前10/300（前3%）,3.0,10,300,True,专硕,拿到夏令营 offer,"[{""type"": ""论文"", ""title"": null, ""author_order"": ""非一作"", ""venue_or_level"": ""ccf-a""}, {""type"": ""论文"", ""title"": null, ""author_order"": ""一作"", ""venue_or_level"": ""EI""}, {""type"": ""论文"", ""title"": null, ""author_order"": ""一作"", ""venue_or_level"": ""CCF-A""}]","[{""name"": ""互联网+"", ""level"": ""国赛"", ""award"": ""国金"", ""normalized_name"": ""互联网+""}, {""name"": ""美赛"", ""level"": ""国际"", ""award"": ""M奖"", ""normalized_name"": ""美赛""}, {""name"": ""ACM"", ""level"": ""国赛"", ""award"": null, ""normalized_name"": ""ACM""}]","ACM,互联网+,美赛",0.9,
https://zhuanlan.zhihu.com/p/1959566901572252363,2025年(2026届)211低rank三无选手计算机保研经验贴(西湖大学、上 ...,知乎,2025,211,计算机,"计算机,人工智能,电子信息,自动化",其他,5%-10%,7.5,,,,未说明,,"[{""type"": ""科研经历"", ""title"": null, ""author_order"": ""未知"", ""venue_or_level"": null}, {""type"": ""论文"", ""title"": null, ""author_order"": ""一作"", ""venue_or_level"": ""EI""}]","[{""name"": ""数模数竞"", ""level"": ""省/国赛"", ""award"": ""省/国奖"", ""normalized_name"": ""数模数竞""}, {""name"": ""挑战杯"", ""level"": null, ""award"": null, ""normalized_name"": ""挑战杯""}, {""name"": ""互联网+"", ""level"": null, ""award"": null, ""normalized_name"": ""互联网+""}, {""name"": ""ACM"", ""level"": null, ""award"": null, ""normalized_name"": ""ACM""}]","ACM,互联网+,挑战杯,数模数竞",0.9,
https://damodev.csdn.net/68919fb6bb9d8e0ecec4065b.html,四非鼠鼠计算机专业的保研分享 - DAMO开发者矩阵- CSDN,CSDN,2025,,计算机科学与技术,"计算机,计算机科学,人工智能,自动化",其他,rank1,,,,True,学硕,拿到夏令营 offer,"[{""type"": ""论文"", ""title"": null, ""author_order"": ""未知"", ""venue_or_level"": null}]","[{""name"": ""蓝桥杯"", ""level"": ""国赛"", ""award"": null, ""normalized_name"": ""蓝桥杯""}, {""name"": ""挑战杯"", ""level"": ""国赛"", ""award"": null, ""normalized_name"": ""挑战杯""}, {""name"": ""互联网+"", ""level"": ""国赛"", ""award"": null, ""normalized_name"": ""互联网+""}]","互联网+,挑战杯,蓝桥杯",0.8,博主为四非院校计算机专业学生，专业排名第一，成功入营北京科技大学计算机科学与技术学硕。
https://blog.csdn.net/qq_55675216/article/details/133434990,2023年(2024届)双非保研历程(中南、东南、浙大、信工所、国防科大,CSDN,2023,,信息安全,"计算机,人工智能",其他,2/66,3.03,2,66,,未说明,,"[{""type"": ""论文"", ""title"": null, ""author_order"": ""未知"", ""venue_or_level"": null}]","[{""name"": ""大英赛"", ""level"": ""国赛"", ""award"": ""国三"", ""normalized_name"": ""大英赛""}, {""name"": ""美赛"", ""level"": ""国际"", ""award"": ""H"", ""normalized_name"": ""美赛""}, {""name"": ""蓝桥杯"", ""level"": ""省赛"", ""award"": ""省一"", ""normalized_name"": ""蓝桥杯""}, {""name"": ""数竞"", ""level"": ""省赛"", ""award"": ""省一"", ""normalized_name"": ""数竞""}, {""name"": ""词达人"", ""level"": ""省赛"", ""award"": ""省一"", ""normalized_name"": ""词达人""}, {""name"": ""数模国赛"", ""level"": ""省赛"", ""award"": ""省三"", ""normalized_name"": ""数模国赛""}]","大英赛,数模国赛,数竞,美赛,蓝桥杯,词达人",0.95,
https://damodev.csdn.net/68a6dd3b4e4959284dabf136.html,2024年计算机网安保研梦幻之旅|清华、上交、北航 - DAMO开发者矩阵,CSDN,2024,西北某211,计算机大类的小专业,"计算机,人工智能,电子信息,自动化",其他,绩点5%，综测rk1,5.0,1,,,未说明,,"[{""type"": ""论文"", ""title"": null, ""author_order"": ""一作或学生一作"", ""venue_or_level"": ""1B""}, {""type"": ""论文"", ""title"": null, ""author_order"": ""一作或学生一作"", ""venue_or_level"": ""1B""}, {""type"": ""论文"", ""title"": null, ""author_order"": ""一作或学生一作"", ""venue_or_level"": ""中文核心""}, {""type"": ""专利"", ""title"": null, ""author_order"": null, ""venue_or_level"": null}, {""type"": ""科研经历"", ""title"": ""国家级大创负责人"", ""author_order"": null, ""venue_or_level"": null}, {""type"": ""论文"", ""title"": null, ""author_order"": ""一作"", ""venue_or_level"": ""EI""}]","[{""name"": ""数学建模"", ""level"": ""国赛"", ""award"": ""国一"", ""normalized_name"": ""数学建模""}, {""name"": ""密码赛"", ""level"": ""国赛"", ""award"": ""国一"", ""normalized_name"": ""密码赛""}]","密码赛,数学建模",0.9,
https://blog.csdn.net/qq_43330239/article/details/123976285,电子信息/通信保研/考研复试经验贴，保姆级经验之联系导师篇_成电 ...,CSDN,2022,末流985,电子信息/通信,"计算机,电子信息",末九,专业前3%,3.0,,,,未说明,,"[{""type"": ""科研经历"", ""title"": ""大创、校级创新作品大赛"", ""author_order"": ""未知"", ""venue_or_level"": null}, {""type"": ""论文"", ""title"": null, ""author_order"": ""未知"", ""venue_or_level"": ""EI""}]","[{""name"": ""电赛"", ""level"": ""国家级"", ""award"": null, ""normalized_name"": ""电赛""}, {""name"": ""数模"", ""level"": ""国家级"", ""award"": null, ""normalized_name"": ""数模""}, {""name"": ""英语"", ""level"": null, ""award"": null, ""normalized_name"": ""英语""}]","数模,电赛,英语",0.9,最终去向：南京大学
https://blog.csdn.net/qq_68608661/article/details/143145256,25届电信保研经验贴（复旦大学信息学院） - CSDN博客,CSDN,2025,中九,电子信息工程,"计算机,人工智能,电子信息,大数据,自动化",中九,前五学期rank2/95，综合排名rank1,2.1,2,95,True,学硕,拿到夏令营 offer,"[{""type"": ""科研经历"", ""title"": ""市级大创"", ""author_order"": ""未知"", ""venue_or_level"": null}, {""type"": ""论文"", ""title"": null, ""author_order"": ""未知"", ""venue_or_level"": ""EI""}]","[{""name"": ""数模"", ""level"": ""省赛"", ""award"": ""一等奖"", ""normalized_name"": ""数模""}, {""name"": ""数竞"", ""level"": ""省赛"", ""award"": ""二等奖"", ""normalized_name"": ""数竞""}, {""name"": ""蓝桥杯"", ""level"": ""国赛"", ""award"": null, ""normalized_name"": ""蓝桥杯""}, {""name"": ""ACM"", ""level"": ""国赛"", ""award"": null, ""normalized_name"": ""ACM""}]","ACM,数模,数竞,蓝桥杯",0.9,
https://blog.csdn.net/Baoyan_cs/article/details/142216640,项目解析手册| 东北大学计算机科学与工程学院原创 - CSDN博客,CSDN,,,计算机科学与技术,"计算机,计算机科学,计算机技术,人工智能,软件工程,网络空间安全,通信工程",其他,6/498,,,,,未说明,,"[{""type"": ""论文"", ""title"": null, ""author_order"": ""未知"", ""venue_or_level"": ""EI""}]","[{""name"": ""蓝桥杯"", ""level"": ""国际"", ""award"": null, ""normalized_name"": ""蓝桥杯""}, {""name"": ""互联网+"", ""level"": ""国际"", ""award"": null, ""normalized_name"": ""互联网+""}, {""name"": ""天梯赛"", ""level"": ""国际"", ""award"": null, ""normalized_name"": ""天梯赛""}]","互联网+,天梯赛,蓝桥杯",0.5,
